Table 8,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2018",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Addison Township,"6,598",1,0,0,0,1,15,1,13,1,0
Adrian,"20,624",115,0,38,12,65,474,108,344,22,1
Adrian Township,"6,264",8,0,5,0,3,13,2,9,2,0
Akron,374,2,0,1,0,1,4,3,1,0,0
Albion,"8,241",69,0,8,5,56,304,68,220,16,7
Allegan,"5,051",12,0,5,1,6,45,3,38,4,0
Allen Park,"27,020",68,0,9,12,47,500,46,411,43,3
Alma,"8,944",21,0,5,2,14,105,19,83,3,1
Almont,"2,820",15,0,8,0,7,38,16,18,4,0
Alpena,"9,934",41,0,12,3,26,194,25,166,3,0
Ann Arbor,"122,571",270,2,55,45,168,"1,932",215,"1,650",67,7
Argentine Township,"6,526",3,0,1,0,2,21,6,15,0,0
Armada,"1,734",3,0,1,0,2,10,2,8,0,0
Auburn Hills,"23,579",94,0,15,6,73,530,30,482,18,2
Au Gres,835,0,0,0,0,0,3,0,3,0,0
Augusta,905,0,0,0,0,0,16,4,12,0,0
Bad Axe,"2,933",0,0,0,0,0,81,5,73,3,1
Bancroft,497,3,0,3,0,0,0,0,0,0,0
Bangor,"1,831",15,0,2,0,13,53,5,45,3,1
Baroda-Lake Township,"3,826",8,0,3,0,5,26,8,14,4,0
Barryton,353,0,0,0,0,0,1,0,1,0,0
Barry Township,"3,476",6,0,3,0,3,31,9,18,4,0
Bath Township,"12,984",14,0,9,1,4,106,21,77,8,0
Battle Creek,"60,615",600,6,85,69,440,"1,958",467,"1,414",77,16
Bay City,"32,953",231,0,43,28,160,732,162,524,46,6
Beaverton,"1,047",7,0,2,0,5,10,2,8,0,0
Belding,"5,737",16,0,9,0,7,70,9,56,5,2
Belleville,"3,855",10,0,5,0,5,57,5,52,0,0
Bellevue,"1,285",1,0,0,0,1,4,1,3,0,0
Benton Harbor,"9,836",213,3,27,28,155,422,101,264,57,4
Benton Township,"14,382",231,1,26,36,168,857,94,694,69,5
Berkley,"15,382",5,0,0,0,5,87,7,76,4,0
Berrien Springs-Oronoko Township,"8,961",17,0,3,0,14,83,11,63,9,0
Beverly Hills,"10,450",5,0,0,1,4,57,4,52,1,0
Big Rapids,"10,369",24,0,5,1,18,86,8,72,6,0
Birch Run,"1,465",4,0,0,0,4,86,3,77,6,0
Birmingham,"21,295",10,0,3,3,4,137,26,104,7,0
Blackman Township,"36,884",97,0,39,13,45,"1,321",165,"1,098",58,5
Blissfield,"3,261",8,0,0,0,8,11,3,8,0,0
Bloomfield Hills,"4,009",2,0,0,0,2,24,3,20,1,0
Bloomfield Township,"42,199",21,0,2,2,17,327,35,283,9,2
Boyne City,"3,741",10,0,6,1,3,89,2,82,5,0
Brandon Township,"15,962",13,0,7,0,6,50,13,33,4,0
Breckenridge,"1,273",1,0,0,0,1,14,2,12,0,0
Bridgeport Township,"9,853",40,0,3,2,35,138,58,72,8,1
Bridgman,"2,231",3,0,2,0,1,17,2,13,2,0
Brighton,"7,635",11,0,4,4,3,102,6,93,3,1
Bronson,"2,297",6,0,2,0,4,65,15,46,4,0
Brown City,"1,238",2,0,1,0,1,22,1,21,0,0
Brownstown Township,"31,912",78,1,9,10,58,281,41,205,35,1
Buchanan,"4,293",19,0,1,2,16,91,8,79,4,0
Buena Vista Township,"8,146",86,0,6,3,77,139,45,73,21,2
Burton,"28,464",127,1,25,16,85,685,134,483,68,5
Cadillac,"10,455",68,0,18,10,40,226,35,179,12,3
Calumet,694,2,0,2,0,0,18,3,15,0,0
Cambridge Township,"5,656",1,0,1,0,0,23,5,15,3,0
Canton Township,"92,055",134,0,24,11,99,986,56,898,32,8
Capac,"1,831",13,0,0,0,13,19,7,10,2,0
Carleton,"2,364",7,0,2,1,4,13,3,10,0,0
Caro,"3,993",12,0,4,0,8,76,5,67,4,0
Carrollton Township,"5,675",18,0,5,1,12,57,18,36,3,1
Carson City,"1,112",3,0,1,0,2,13,0,12,1,1
Caseville,729,1,0,1,0,0,10,3,7,0,0
Caspian-Gaastra,"1,166",1,0,0,0,1,1,1,0,0,0
Cass City,"2,281",9,0,4,0,5,49,7,40,2,0
Center Line,"8,275",35,0,11,2,22,173,17,121,35,0
Charlevoix,"2,491",11,0,7,0,4,37,5,29,3,0
Charlotte,"9,053",24,0,8,2,14,239,19,212,8,0
Cheboygan,"4,690",15,0,7,0,8,125,15,109,1,0
Chelsea,"5,248",3,0,0,2,1,41,5,35,1,0
Chesaning,"2,251",3,0,2,0,1,13,2,9,2,0
Chesterfield Township,"45,686",59,0,7,3,49,630,62,546,22,4
